Customer Name,Buyer Segmentation,Year,Month,XWR,Total Qty
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,20
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,12
ASIAN TUBES,Customers Needing Attention,2017,April,73300.00,7.5
ASIAN TUBES,Customers Needing Attention,2017,April,73300.00,2.5
CHEMVIN INDUSTRIES,At Risk Customer,2017,April,72500.00,20
CHEMVIN INDUSTRIES,At Risk Customer,2017,April,72500.00,20
CHEMVIN INDUSTRIES,At Risk Customer,2017,April,72500.00,10
DIAMOND PLASTIC PRODUTS,Customers Needing Attention,2017,April,72500.00,20
DIAMOND PLASTIC PRODUTS,Customers Needing Attention,2017,April,72500.00,20
DIPLAST PLASTICS LIMITED,Loyal Customers,2017,April,72500.00,10
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,72780.00,4.64
JANTA FOOTWEAR PRIVATE LIMITED,Promising Customer,2017,April,73500.00,19
RADHA RANI FOOT WEAR,Potential Loyalists,2017,April,74250.00,6
SAMANA PLASTIC LIMITED,At Risk Customer,2017,April,72700.00,11
SAMANA PLASTIC LIMITED,At Risk Customer,2017,April,72700.00,21
SAMANA PLASTIC LIMITED,At Risk Customer,2017,April,72700.00,17
SAMANA PLASTIC LIMITED,At Risk Customer,2017,April,72700.00,1
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73300.00,7
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73300.00,10
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73300.00,16
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73800.00,1
VINYL PRODUCTS,Loyal Customers,2017,April,76150.00,5
VINYL PRODUCTS,Loyal Customers,2017,April,74150.00,8
EL-CHEM POLYMERS,Customers Needing Attention,2017,April,74750.00,1
FENESTA BUILDING PRODUCTS,At Risk Customer,2017,April,72780.00,4.95
KUMAR ARCH TECH PVT. LTD.,Customers Needing Attention,2017,April,73500.00,15
MARVEL VINYLS LIMITED,Loyal Customers,2017,April,73050.00,21
NIRMESH ENTERPRISES PVT LTD,At Risk Customer,2017,April,73500.00,4
NIRMESH ENTERPRISES PVT LTD,At Risk Customer,2017,April,73850.00,12
RAJKAMAL INDUSTRIES,Loyal Customers,2017,April,74400.00,2
SRI SUDARSHANA POLYMERS,Loyal Customers,2017,April,75249.00,1.675
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73800.00,2
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73300.00,14
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73300.00,20
SUNRISE ENTERPRISES,Loyal Customers,2017,April,73300.00,10
UMESH UDYOG,Loyal Customers,2017,April,74400.00,1
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,4
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,4
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,1
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,1
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,2
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,2
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,2
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,12
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,12
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,3
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,3
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,1
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,0.85
AJAY POLYMERS,Loyal Customers,2017,April,72750.00,0.15
